musical_name	year	url	url_cleaned
Passion	1994	/p/passion.htm	passion
People vs. Mona	2009	/p/peoplevsmona.htm	peoplevsmona
Peter Pan	1954	/p/peterpan.htm	peterpan
Phantom of the Opera	1986	/p/phantomoftheoperathe.htm	phantomoftheoperathe
Pipe Dream	1955	/p/pipedream.htm	pipedream
Pippin	1972	/p/pippin.htm	pippin
Pirate Queen	2007	/p/piratequeenthe.htm	piratequeenthe
Pirates of Penzance	1998	/p/piratesofpenzancethe.htm	piratesofpenzancethe
Play On!	1997	/p/playon.htm	playon
Pocahontas	1995	/p/pocahontas.htm	pocahontas
Porgy and Bess	2013	/p/porgyandbess.htm	porgyandbess
Pretty Faces	2005	/p/prettyfaces.htm	prettyfaces
Pretty Woman	2018	/p/prettywoman.htm	prettywoman
Princess and the Frog	2009	/p/princessandthefrog.htm	princessandthefrog
Priscilla: Queen of the Desert	2009	/p/priscillaqueenofthedesert.htm	priscillaqueenofthedesert
Producers	2001	/p/producers.htm	producers
Prom	2018	/p/prom.htm	prom
Prom Night	2007	/p/promnight.htm	promnight
Promises, Promises	1968	/p/promisespromises.htm	promisespromises
Pump Boys And Dinettes	1982	/p/pumpboysanddinettes.htm	pumpboysanddinettes
Quadrophenia 	1973	/q/quadrophenia.htm	quadrophenia
Queen of the Mist	2011	/q/queenofthemist.htm	queenofthemist
Quilters	1984	/q/quilters.htm	quilters
Radio City Christmas Spectacular	2000	/r/radiocitychristmasspectacular.htm	radiocitychristmasspectacular
Ragtime	1998	/r/ragtime.htm	ragtime
Raisin	1973	/r/raisin.htm	raisin
Redhead	1959	/r/redhead.htm	redhead
Reefer Madness	2000	/r/reefermadness.htm	reefermadness
Rent	1996	/r/rent.htm	rent
REPO! The Genetic Opera	2008	/r/repothegeneticopera.htm	repothegeneticopera
Ring of Fire	2008	/r/ringoffire.htm	ringoffire
Rink	1984	/r/rinkthe.htm	rinkthe
Roar Of The Greasepaint, The - The Smell Of The Crowd	1965	/r/roarofthegreasepaintthethesmellofthecrowd.htm	roarofthegreasepaintthethesmellofthecrowd
Rock Of Ages	2008	/r/rockofages.htm	rockofages
Rocky Horror Show	1973	/r/rockyhorrorshow.htm	rockyhorrorshow
Rodgers and Hammerstein's South Pacific	2008	/r/rodgersandhammersteinssouthpacific.htm	rodgersandhammersteinssouthpacific
Rooms: A Rock Romance	2010	/r/roomsarockromance.htm	roomsarockromance
Rude Awakening	2008	/r/rudeawakening.htm	rudeawakening
Ruthless!	1994	/r/ruthless.htm	ruthless
